cluster_id,pattern_name,total_plays,goals,shots,losses,avg_duration,avg_forward_progress,avg_events,wing_plays
512,Central Attack Medium Deep,3,0,0,3,6.56200000000005,31.81,5.666666666666667,0
513,Mixed Attack Slow Build Deep,3,0,0,3,19.70866666666679,33.14333333333334,12.333333333333334,2
514,Wing Attack Medium Deep,3,0,0,3,7.47400000000016,43.98,7.0,3
515,Wing Attack Slow Build Deep,3,0,0,3,21.07633333333327,44.9,13.666666666666666,3
516,Mixed Attack Medium Short,3,0,0,3,8.341333333333447,13.22,6.0,2
517,Wing Attack Fast Mid,3,0,0,3,4.292999999999931,22.066666666666663,5.0,3
518,Mixed Attack Medium Short,3,0,1,2,5.96166666666674,10.233333333333333,6.0,1
519,Mixed Attack Fast Short,3,0,0,3,3.258666666666547,9.579999999999998,3.0,1
520,Mixed Attack Medium Deep,3,0,0,3,8.987000000000043,36.46333333333334,5.333333333333333,1
521,Central Attack Slow Build Deep,3,0,1,2,14.08066666666673,46.126666666666665,7.666666666666667,0
522,Wing Attack Slow Build Mid,3,0,0,3,16.550000000000257,24.573333333333334,13.0,3
523,Wing Attack Slow Build Deep,3,0,0,3,10.398666666666562,63.053333333333335,5.666666666666667,3
524,Wing Attack Slow Build Deep,3,0,1,2,12.635000000000067,37.48,7.0,3
525,Wing Attack Slow Build Deep,3,0,0,3,14.559000000000045,45.15,8.666666666666666,3
526,Mixed Attack Slow Build Deep,3,0,0,3,25.86999999999989,45.336666666666666,18.666666666666668,2
527,Mixed Attack Medium Short,3,0,0,3,6.49533333333314,19.433333333333334,5.333333333333333,2
528,Mixed Attack Fast Mid,3,0,0,3,4.182333333332963,27.12,4.333333333333333,1
529,Wing Attack Fast Short,3,0,0,3,3.9373333333332425,14.946666666666665,4.0,3
530,Wing Attack Medium Short,3,0,0,3,5.294000000000172,17.713333333333335,6.333333333333333,3
531,Central Attack Slow Build Deep,3,0,0,3,10.466000000000045,36.78333333333333,7.666666666666667,0
532,Wing Attack Fast Mid,3,0,0,3,4.382000000000517,25.686666666666667,2.6666666666666665,3
533,Wing Attack Medium Short,3,0,0,3,6.095000000000103,9.04,6.333333333333333,3
534,Wing Attack Slow Build Mid,3,0,1,2,24.780666666667003,27.683333333333334,17.0,3
535,Mixed Attack Medium Mid,3,0,0,3,7.107000000000009,20.226666666666663,5.666666666666667,2
536,Central Attack Slow Build Deep,3,0,1,2,14.759333333333416,40.81333333333334,10.333333333333334,0
537,Wing Attack Slow Build Deep,3,0,0,3,23.534333333333354,38.15,14.0,3
538,Wing Attack Fast Short,3,0,0,3,4.904666666666657,12.103333333333333,3.3333333333333335,3
539,Wing Attack Slow Build Deep,3,0,0,3,20.93199999999994,61.25,11.0,3
540,Wing Attack Slow Build Mid,3,0,1,2,10.421666666666596,28.28,7.0,3
541,Wing Attack Fast Short,3,0,1,2,4.004000000000057,7.456666666666666,4.0,3
542,Mixed Attack Fast Short,3,0,0,3,3.5703333333334135,7.93,3.0,2
543,Mixed Attack Slow Build Deep,3,0,0,3,25.814666666666653,53.23,13.666666666666666,2
544,Mixed Attack Slow Build Deep,3,0,0,3,26.815666666666704,40.403333333333336,15.0,1
545,Wing Attack Slow Build Deep,3,0,0,3,28.75100000000005,42.24333333333333,20.333333333333332,3
546,Mixed Attack Medium Deep,3,0,1,2,5.750333333333401,45.556666666666665,3.6666666666666665,2
547,Mixed Attack Fast Mid,3,0,0,3,4.348666666666759,26.76,3.3333333333333335,2
548,Mixed Attack Fast Deep,3,0,0,3,4.40433333333317,58.02333333333333,3.3333333333333335,1
549,Wing Attack Slow Build Short,2,0,0,2,16.46700000000004,10.83,10.0,2
550,Mixed Attack Slow Build Deep High-Conv,2,1,2,0,27.043999999999983,83.735,17.5,1
551,Wing Attack Slow Build Short,2,0,0,2,15.565499999999986,8.245000000000001,12.5,2
552,Central Attack Slow Build Short,2,0,0,2,22.956000000000017,19.585,13.0,0
553,Wing Attack Slow Build Short,2,0,0,2,22.472499999999854,11.055,14.5,2
554,Mixed Attack Slow Build Deep,2,0,0,2,13.947000000000003,32.85,10.0,1
555,Mixed Attack Slow Build Deep,2,0,0,2,27.76150000000007,46.69,15.0,1
556,Wing Attack Medium Deep,2,0,0,2,9.992999999999995,45.224999999999994,7.5,2
557,Mixed Attack Slow Build Short,2,0,0,2,17.151000000000067,10.38,10.0,1
558,Mixed Attack Slow Build Mid,2,0,0,2,20.453500000000076,21.68,14.5,1
559,Wing Attack Medium Deep,2,0,0,2,6.989999999999782,46.17,5.5,2
560,Mixed Attack Slow Build Mid,2,0,0,2,13.93049999999991,22.230000000000004,8.5,1
561,Mixed Attack Medium Mid,2,0,0,2,8.074500000000057,22.22,5.0,1
562,Mixed Attack Medium Short,2,0,1,1,8.157999999999959,12.77,6.5,1
563,Mixed Attack Slow Build Deep,2,0,2,0,13.547000000000253,50.38,8.0,1
564,Wing Attack Slow Build Short,2,0,0,2,27.960500000000053,17.485,23.0,2
565,Wing Attack Slow Build Deep,2,0,1,1,24.69150000000002,46.43,11.5,2
566,Wing Attack Slow Build Deep,2,0,0,2,13.663999999999874,50.504999999999995,9.0,2
567,Mixed Attack Slow Build Deep,2,0,1,1,17.666999999999916,56.214999999999996,10.0,1
568,Wing Attack Slow Build Deep,2,0,0,2,26.243000000000052,34.18,14.5,2
569,Mixed Attack Medium Mid,2,0,0,2,8.241499999999974,25.045,6.5,1
570,Mixed Attack Slow Build Short,2,0,0,2,11.495000000000118,12.790000000000001,9.5,1
571,Mixed Attack Slow Build Deep,2,0,0,2,20.287000000000035,81.21000000000001,8.5,1
572,Wing Attack Slow Build Short,2,0,0,2,13.764000000000124,13.88,11.0,2
573,Wing Attack Medium Deep,2,0,0,2,8.575000000000017,48.620000000000005,7.5,2
574,Central Attack Slow Build Short,2,0,0,2,21.604999999999905,19.07,12.5,0
575,Wing Attack Slow Build Deep,2,0,0,2,14.114000000000374,33.325,11.0,2
576,Mixed Attack Slow Build Mid,2,0,0,2,13.831000000000046,22.340000000000003,10.0,1
577,Mixed Attack Slow Build Short,2,0,0,2,26.776999999999816,13.535,19.0,1
578,Mixed Attack Medium Deep,2,0,0,2,9.692500000000337,31.93,6.5,1
579,Wing Attack Medium Short,2,0,0,2,6.7065000000000055,18.77,6.0,2
580,Wing Attack Slow Build Mid,2,0,0,2,13.462999999999965,24.089999999999996,7.5,2
581,Wing Attack Slow Build Mid,2,0,0,2,11.010999999999967,23.244999999999997,7.5,2
582,Wing Attack Slow Build Short,2,0,0,2,15.565000000000168,9.125,11.5,2
583,Wing Attack Medium Mid,2,0,0,2,9.625999999999976,24.830000000000002,7.0,2
584,Wing Attack Slow Build Mid,2,0,0,2,14.51449999999977,20.845,11.5,2
585,Mixed Attack Slow Build Short,2,0,0,2,16.583499999999844,16.495,15.0,1
586,Mixed Attack Slow Build Short,2,0,0,2,17.5504999999996,8.239999999999998,11.0,1
587,Wing Attack Slow Build Deep,2,0,0,2,13.213499999999613,66.33,9.0,2
588,Central Attack Medium Short,2,0,0,2,8.15800000000013,9.370000000000001,3.0,0
589,Mixed Attack Slow Build Short,2,0,0,2,17.917500000000018,8.545000000000002,13.5,1
590,Wing Attack Slow Build Short,2,0,0,2,10.143499999999676,7.949999999999999,7.5,2
591,Wing Attack Slow Build Deep,2,0,0,2,25.759000000000015,33.11,14.5,2
